מספר חולים קשה - פעילים,
תאריך,מספר חולים
02-03-2020,0
03-03-2020,0
04-03-2020,0
05-03-2020,1
06-03-2020,2
07-03-2020,3
08-03-2020,5
09-03-2020,5
10-03-2020,6
11-03-2020,7
12-03-2020,7
13-03-2020,7
14-03-2020,6
15-03-2020,9
16-03-2020,11
17-03-2020,12
18-03-2020,16
19-03-2020,21
20-03-2020,23
21-03-2020,27
22-03-2020,38
23-03-2020,44
24-03-2020,48
25-03-2020,52
26-03-2020,56
27-03-2020,66
28-03-2020,70
29-03-2020,80
30-03-2020,89
31-03-2020,99
01-04-2020,111
02-04-2020,113
03-04-2020,131
04-04-2020,140
05-04-2020,135
06-04-2020,147
07-04-2020,160
08-04-2020,166
09-04-2020,166
10-04-2020,170
11-04-2020,182
12-04-2020,177
13-04-2020,192
14-04-2020,178
15-04-2020,179
16-04-2020,182
17-04-2020,165
18-04-2020,174
19-04-2020,157
20-04-2020,154
21-04-2020,145
22-04-2020,149
23-04-2020,146
24-04-2020,144
25-04-2020,136
26-04-2020,142
27-04-2020,132
28-04-2020,127
29-04-2020,122
30-04-2020,112
01-05-2020,109
02-05-2020,111
03-05-2020,101
04-05-2020,97
05-05-2020,91
06-05-2020,88
07-05-2020,84
08-05-2020,78
09-05-2020,78
10-05-2020,74
11-05-2020,69
12-05-2020,65
13-05-2020,61
14-05-2020,61
15-05-2020,61
16-05-2020,60
17-05-2020,55
18-05-2020,52
19-05-2020,51
20-05-2020,46
21-05-2020,47
22-05-2020,46
23-05-2020,46
24-05-2020,43
25-05-2020,41
26-05-2020,36
27-05-2020,40
28-05-2020,36
29-05-2020,39
30-05-2020,35
31-05-2020,35
01-06-2020,32
02-06-2020,29
03-06-2020,28
04-06-2020,30
05-06-2020,29
06-06-2020,29
07-06-2020,29
08-06-2020,30
09-06-2020,31
10-06-2020,32
11-06-2020,35
12-06-2020,35
13-06-2020,35
14-06-2020,31
15-06-2020,36
16-06-2020,38
17-06-2020,36
18-06-2020,40
19-06-2020,39
20-06-2020,41
21-06-2020,45
22-06-2020,43
23-06-2020,40
24-06-2020,45
25-06-2020,44
26-06-2020,45
27-06-2020,40
28-06-2020,39
29-06-2020,44
30-06-2020,56
01-07-2020,59
02-07-2020,72
03-07-2020,83
04-07-2020,85
05-07-2020,94
06-07-2020,90
07-07-2020,93
08-07-2020,113
09-07-2020,126
10-07-2020,131
11-07-2020,136
12-07-2020,151
13-07-2020,184
14-07-2020,190
15-07-2020,209
16-07-2020,209
17-07-2020,219
18-07-2020,235
19-07-2020,270
20-07-2020,264
21-07-2020,256
22-07-2020,284
23-07-2020,310
24-07-2020,328
25-07-2020,321
26-07-2020,311
27-07-2020,316
28-07-2020,322
29-07-2020,335
30-07-2020,318
31-07-2020,317
01-08-2020,337
02-08-2020,349
03-08-2020,328
04-08-2020,341
05-08-2020,354
06-08-2020,356
07-08-2020,366
08-08-2020,386
09-08-2020,386
10-08-2020,390
11-08-2020,372
12-08-2020,371
13-08-2020,370
14-08-2020,368
15-08-2020,382
16-08-2020,373
17-08-2020,392
18-08-2020,397
19-08-2020,382
20-08-2020,393
21-08-2020,400
22-08-2020,403
23-08-2020,405
24-08-2020,424
25-08-2020,427
26-08-2020,417
27-08-2020,421
28-08-2020,417
29-08-2020,438
30-08-2020,452
31-08-2020,435
01-09-2020,417
02-09-2020,414
03-09-2020,403
04-09-2020,415
05-09-2020,438
06-09-2020,453
07-09-2020,457
08-09-2020,462
09-09-2020,485
10-09-2020,492
11-09-2020,488
12-09-2020,517
13-09-2020,518
14-09-2020,524
15-09-2020,514
16-09-2020,529
17-09-2020,567
18-09-2020,586
19-09-2020,611
20-09-2020,628
21-09-2020,655
22-09-2020,631
23-09-2020,666
24-09-2020,660
25-09-2020,705
26-09-2020,719
27-09-2020,731
28-09-2020,757
29-09-2020,796
30-09-2020,819
01-10-2020,812
02-10-2020,848
03-10-2020,843
04-10-2020,896
05-10-2020,869
06-10-2020,851
07-10-2020,847
08-10-2020,839
09-10-2020,831
10-10-2020,811
11-10-2020,809
12-10-2020,800
13-10-2020,763
14-10-2020,725
15-10-2020,699
16-10-2020,658
17-10-2020,646
18-10-2020,659
19-10-2020,642
20-10-2020,626
21-10-2020,605
22-10-2020,589
23-10-2020,560
24-10-2020,539
25-10-2020,510
26-10-2020,493
27-10-2020,475
28-10-2020,463
29-10-2020,445
30-10-2020,428
31-10-2020,409
01-11-2020,396
02-11-2020,399
03-11-2020,380
04-11-2020,354
05-11-2020,331
06-11-2020,318
07-11-2020,325
08-11-2020,336
09-11-2020,332
10-11-2020,308
11-11-2020,308
12-11-2020,302
13-11-2020,291
14-11-2020,291
15-11-2020,307
16-11-2020,318
17-11-2020,318
18-11-2020,315
19-11-2020,321
20-11-2020,315
21-11-2020,310
22-11-2020,306
23-11-2020,289
24-11-2020,281
25-11-2020,293
26-11-2020,280
27-11-2020,278
28-11-2020,267
29-11-2020,275
30-11-2020,272
01-12-2020,277
02-12-2020,291
03-12-2020,308
04-12-2020,324
05-12-2020,331
06-12-2020,343
07-12-2020,335
08-12-2020,326
09-12-2020,322
10-12-2020,319
11-12-2020,338
12-12-2020,343
13-12-2020,378
14-12-2020,386
15-12-2020,388
16-12-2020,403
17-12-2020,430
18-12-2020,452
19-12-2020,467
20-12-2020,471
21-12-2020,489
22-12-2020,510
23-12-2020,513
24-12-2020,531
25-12-2020,557
26-12-2020,578
27-12-2020,615
28-12-2020,617
29-12-2020,639
30-12-2020,662
31-12-2020,706
01-01-2021,732
02-01-2021,745
03-01-2021,803
04-01-2021,830
05-01-2021,878
06-01-2021,922
07-01-2021,930
08-01-2021,949
09-01-2021,1005
10-01-2021,1081
11-01-2021,1088
12-01-2021,1088
13-01-2021,1103
14-01-2021,1143
15-01-2021,1167
16-01-2021,1189
17-01-2021,1194
18-01-2021,1184
19-01-2021,1191
20-01-2021,1178
21-01-2021,1169
22-01-2021,1163
23-01-2021,1180
24-01-2021,1185
25-01-2021,1193
26-01-2021,1195
27-01-2021,1159
28-01-2021,1180
29-01-2021,1156
30-01-2021,1147
31-01-2021,1141
01-02-2021,1138
02-02-2021,1106
03-02-2021,1129
04-02-2021,1110
05-02-2021,1122
06-02-2021,1124
07-02-2021,1143
08-02-2021,1123
09-02-2021,1064
10-02-2021,1043
11-02-2021,1006
12-02-2021,969
13-02-2021,976
14-02-2021,1017
15-02-2021,1006
16-02-2021,952
17-02-2021,963
18-02-2021,926
19-02-2021,879
20-02-2021,834
21-02-2021,820
22-02-2021,847
23-02-2021,817
24-02-2021,811
25-02-2021,796
26-02-2021,768
27-02-2021,748
28-02-2021,748
01-03-2021,762
02-03-2021,736
03-03-2021,738
04-03-2021,735
05-03-2021,705
06-03-2021,707
07-03-2021,709
08-03-2021,710
09-03-2021,687
10-03-2021,675
11-03-2021,649
12-03-2021,637
13-03-2021,625
14-03-2021,637
15-03-2021,626
16-03-2021,586
